,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Votes,Gross
342,Sarfarosh,(1999),174 min,8.1,****,"26,469",%^%^%^
343,Her Sey Çok Güzel Olacak,(1998),107 min,8.1,****,"26,781",%^%^%^
344,Anand,(1971),122 min,8.1,****,"34,767",%^%^%^
345,Dune: Part One,(2021),155 min,8.0,74        ,"717,418",$108.33M
346,Blade Runner 2049,(2017),164 min,8.0,81        ,"625,041",$92.05M
347,Sin City,(2005),124 min,8.0,74        ,"784,690",$74.10M
348,Black Swan,(2010),108 min,8.0,79        ,"800,878",$106.95M
349,The Princess Bride,(1987),98 min,8.0,77        ,"441,131",$30.86M
350,Guardians of the Galaxy,(2014),121 min,8.0,76        ,"1,244,923",$333.18M
351,La La Land,(2016),128 min,8.0,94        ,"635,728",$151.10M
352,Donnie Darko,(2001),113 min,8.0,88        ,"830,606",$1.48M
353,The Revenant,(I) (2015),156 min,8.0,76        ,"845,126",$183.64M
354,Her,(2013),126 min,8.0,91        ,"648,143",$25.57M
355,Deadpool,(2016),108 min,8.0,65        ,"1,089,297",$363.07M
356,The Last Picture Show,(1971),118 min,8.0,93        ,"51,011",$29.13M
357,The Martian,(2015),144 min,8.0,80        ,"895,558",$228.43M
358,The Imitation Game,(2014),114 min,8.0,71        ,"803,793",$91.13M
359,Zootopia,(2016),108 min,8.0,78        ,"527,544",$341.27M
360,The Avengers,(2012),143 min,8.0,69        ,"1,434,110",$623.28M
361,CODA,(2021),111 min,8.0,72        ,"153,270",%^%^%^
362,Rosemary's Baby,(1968),137 min,8.0,96        ,"227,423",%^%^%^
